               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.11817,0.051334,0.040996,0.0022258,0.13305,0.0020395,0.00046631,0.10375,0.052771,0.035374,0.0919,0.0009,0.0009
1,0.09692,0.063612,0.029442,0.3635,0.12914,0.032013,0.0081168,0.080916,0.057587,0.025453,0.082894,0.0018937,0.0018937
2,0.078803,0.059286,0.023046,0.75499,0.14901,0.084814,0.024024,0.07186,0.079093,0.02499,0.073881,0.0028809,0.0028809
3,0.071221,0.049467,0.020353,0.77573,0.17552,0.10815,0.031482,0.074792,0.055116,0.024742,0.064861,0.0038614,0.0038614
4,0.068447,0.046256,0.020631,0.79075,0.19426,0.15104,0.048866,0.075057,0.044497,0.022721,0.055835,0.0048353,0.0048353
5,0.067342,0.04216,0.018248,0.81281,0.2064,0.17241,0.063336,0.07236,0.037664,0.023008,0.046803,0.0058027,0.0058027
6,0.066365,0.038475,0.019331,0.82643,0.18985,0.20477,0.095715,0.060794,0.035687,0.021659,0.037763,0.0067634,0.0067634
7,0.063539,0.036777,0.017771,0.847,0.22848,0.23986,0.10091,0.052324,0.033941,0.021445,0.028718,0.0077175,0.0077175
8,0.062405,0.038833,0.018855,0.86431,0.24062,0.29636,0.10289,0.055214,0.035547,0.020724,0.019665,0.008665,0.008665
9,0.058357,0.036505,0.017622,0.59333,0.45368,0.37991,0.12452,0.055549,0.036544,0.018713,0.010606,0.009606,0.009606
10,0.055375,0.03474,0.016815,0.67857,0.48455,0.4542,0.17172,0.048238,0.035736,0.016721,0.00967,0.00967,0.00967
11,0.05165,0.032675,0.014702,0.58617,0.49348,0.41036,0.17198,0.051833,0.037448,0.01406,0.00967,0.00967,0.00967
12,0.05031,0.032371,0.011923,0.66266,0.49335,0.44722,0.19921,0.044446,0.03635,0.011549,0.009637,0.009637,0.009637
13,0.046812,0.033215,0.010303,0.66702,0.47095,0.46612,0.21269,0.042815,0.032991,0.01377,0.009604,0.009604,0.009604
14,0.044933,0.033518,0.0094416,0.8286,0.48458,0.54015,0.29086,0.039634,0.032057,0.0076977,0.009571,0.009571,0.009571
15,0.042585,0.033642,0.0086342,0.87988,0.47164,0.54487,0.29336,0.038356,0.030273,0.009695,0.009538,0.009538,0.009538
16,0.043132,0.031806,0.008062,0.89389,0.50173,0.57275,0.27785,0.039248,0.0305,0.0080743,0.009505,0.009505,0.009505
17,0.041334,0.031542,0.0077578,0.93356,0.46394,0.57491,0.2746,0.038626,0.030434,0.0072323,0.009472,0.009472,0.009472
18,0.040911,0.030565,0.0074963,0.88049,0.53648,0.62214,0.33678,0.033967,0.030463,0.007571,0.009439,0.009439,0.009439
19,0.038789,0.030964,0.0080348,0.85288,0.52781,0.57731,0.28723,0.037014,0.02972,0.0077221,0.009406,0.009406,0.009406
20,0.038224,0.031407,0.0073616,0.90332,0.53863,0.60527,0.2936,0.036542,0.030889,0.0070183,0.009373,0.009373,0.009373
21,0.039263,0.029873,0.0071045,0.92226,0.56019,0.64437,0.35439,0.033836,0.029063,0.0064505,0.00934,0.00934,0.00934
22,0.037063,0.030277,0.0065305,0.92423,0.56886,0.63972,0.34468,0.03339,0.029914,0.0059022,0.009307,0.009307,0.009307
23,0.037302,0.030434,0.0063936,0.91118,0.54748,0.62914,0.36296,0.036612,0.028806,0.005872,0.009274,0.009274,0.009274
24,0.036182,0.029268,0.0067499,0.89645,0.54441,0.6561,0.36921,0.032861,0.028658,0.0075987,0.009241,0.009241,0.009241
25,0.03631,0.029393,0.0061984,0.93555,0.55284,0.68094,0.39856,0.035009,0.028273,0.0056159,0.009208,0.009208,0.009208
26,0.034797,0.028456,0.0058391,0.91898,0.56711,0.70424,0.40549,0.032272,0.028618,0.0055991,0.009175,0.009175,0.009175
27,0.03547,0.027859,0.0053432,0.92269,0.55927,0.68913,0.40457,0.033116,0.028164,0.0057604,0.009142,0.009142,0.009142
28,0.035179,0.029633,0.0060539,0.63939,0.74852,0.76964,0.45917,0.031272,0.028133,0.0050957,0.009109,0.009109,0.009109
29,0.034862,0.02841,0.0058278,0.66469,0.75726,0.76097,0.46843,0.032445,0.027815,0.0053357,0.009076,0.009076,0.009076
30,0.033476,0.026191,0.0053045,0.62994,0.7517,0.74381,0.44263,0.033442,0.027803,0.0051398,0.009043,0.009043,0.009043
31,0.034613,0.031044,0.0056074,0.67312,0.71621,0.72121,0.43202,0.031852,0.028027,0.0058096,0.00901,0.00901,0.00901
32,0.033845,0.027728,0.0056708,0.73889,0.71698,0.75557,0.44295,0.032881,0.029392,0.0048677,0.008977,0.008977,0.008977
33,0.032911,0.027444,0.0048551,0.65659,0.68293,0.72076,0.4078,0.032727,0.028217,0.0068853,0.008944,0.008944,0.008944
34,0.033193,0.028079,0.0049963,0.73219,0.74567,0.8033,0.49737,0.031681,0.02792,0.0055384,0.008911,0.008911,0.008911
35,0.032613,0.028034,0.0047112,0.73325,0.67334,0.71832,0.40758,0.033759,0.028656,0.0053037,0.008878,0.008878,0.008878
36,0.032088,0.027735,0.0044936,0.75063,0.65969,0.75739,0.43851,0.032697,0.027982,0.0051431,0.008845,0.008845,0.008845
37,0.032607,0.026538,0.0047933,0.82763,0.7421,0.81613,0.50068,0.031323,0.027437,0.0045954,0.008812,0.008812,0.008812
38,0.032438,0.026609,0.0045699,0.79156,0.76866,0.79782,0.50427,0.031328,0.027844,0.0055523,0.008779,0.008779,0.008779
39,0.032708,0.028213,0.0045445,0.78091,0.76881,0.84519,0.48433,0.0352,0.028298,0.004861,0.008746,0.008746,0.008746
40,0.031974,0.028033,0.00424,0.809,0.75855,0.80237,0.49466,0.031584,0.027615,0.0057077,0.008713,0.008713,0.008713
41,0.031921,0.02686,0.0040065,0.91251,0.72365,0.81956,0.50792,0.03345,0.028636,0.0064133,0.00868,0.00868,0.00868
42,0.030788,0.027072,0.0040507,0.83644,0.71083,0.78236,0.45462,0.03092,0.028385,0.0056304,0.008647,0.008647,0.008647
43,0.030884,0.026233,0.0039188,0.80404,0.77847,0.79817,0.47651,0.033766,0.028521,0.004774,0.008614,0.008614,0.008614
44,0.030528,0.025594,0.0037719,0.92507,0.74681,0.79931,0.4128,0.032861,0.028432,0.0050225,0.008581,0.008581,0.008581
45,0.031647,0.027644,0.0038003,0.85041,0.79753,0.85405,0.49883,0.030851,0.027596,0.00476,0.008548,0.008548,0.008548
46,0.03003,0.026644,0.0034319,0.84343,0.7509,0.83375,0.49469,0.031089,0.027621,0.0039991,0.008515,0.008515,0.008515
47,0.029895,0.025594,0.0031726,0.86179,0.74478,0.83183,0.52085,0.031547,0.028182,0.0046776,0.008482,0.008482,0.008482
